timestamp,memory_mb,label
1765707435.5338354,37.76,before_alloc
1765707435.6192205,165.90,after_inner_alloc
1765707435.7037354,293.91,after_outer_alloc
1765707435.9065204,294.07,before_alloc
1765707435.9914,422.15,after_inner_alloc
1765707436.0434182,550.18,after_outer_alloc
1765707436.2287827,550.18,before_alloc
1765707436.2805216,678.21,after_inner_alloc
1765707436.3303027,806.21,after_outer_alloc
1765707436.5734475,806.21,before_alloc
1765707436.6229177,934.25,after_inner_alloc
1765707436.6730852,1062.26,after_outer_alloc
1765707437.136642,1062.26,before_alloc
1765707437.1872883,1190.26,after_inner_alloc
1765707437.2400866,1318.28,after_outer_alloc
1765707437.4642818,1318.28,before_alloc
1765707437.517652,1446.29,after_inner_alloc
1765707437.570194,1574.29,after_outer_alloc
1765707437.7919364,1574.29,before_alloc
1765707437.8782241,1702.30,after_inner_alloc
1765707437.9634743,1830.30,after_outer_alloc
1765707438.211066,1830.30,before_alloc
1765707438.2967162,1958.30,after_inner_alloc
1765707438.3823788,2086.33,after_outer_alloc
1765707438.8718255,2086.33,before_alloc
1765707438.9560838,2214.34,after_inner_alloc
1765707439.039676,2342.34,after_outer_alloc
1765707439.1536613,2342.34,before_alloc
1765707439.2378244,2470.34,after_inner_alloc
1765707439.2902527,2598.39,after_outer_alloc
1765707439.3953931,2598.39,before_alloc
1765707439.4477155,2726.39,after_inner_alloc
1765707439.5001152,2854.39,after_outer_alloc
1765707439.5793095,2854.39,before_alloc
1765707439.6331525,2982.40,after_inner_alloc
1765707439.685713,3110.41,after_outer_alloc
1765707439.7923303,3110.41,before_alloc
1765707439.8461356,3238.41,after_inner_alloc
1765707439.8995147,3366.41,after_outer_alloc
1765707440.0834732,3366.41,before_alloc
1765707440.1378002,3494.42,after_inner_alloc
1765707440.1917334,3622.43,after_outer_alloc
1765707440.2984946,3622.43,before_alloc
1765707440.3832288,3750.43,after_inner_alloc
1765707440.4684405,3878.43,after_outer_alloc
1765707440.6495745,3878.43,before_alloc
1765707440.735292,4006.44,after_inner_alloc
1765707440.8207617,4134.45,after_outer_alloc
1765707440.9222155,4134.45,before_alloc
1765707441.0067222,4262.46,after_inner_alloc
1765707441.0903642,4390.46,after_outer_alloc
1765707441.3135545,4390.46,before_alloc
1765707441.3980212,4518.46,after_inner_alloc
1765707441.4515266,4646.47,after_outer_alloc
1765707441.6811547,4646.47,before_alloc
1765707441.7350154,4774.47,after_inner_alloc
1765707441.7882276,4902.48,after_outer_alloc
1765707441.9867177,4902.48,before_alloc
1765707442.0391269,5030.48,after_inner_alloc
1765707442.092077,5158.49,after_outer_alloc
1765707442.5130076,5158.49,before_alloc
1765707442.5655546,5286.49,after_inner_alloc
1765707442.633919,5414.50,after_outer_alloc
1765707442.9904735,5414.50,before_alloc
1765707443.0693343,5542.51,after_inner_alloc
1765707443.202357,5670.52,after_outer_alloc
1765707443.6082149,5670.52,before_alloc
1765707443.732105,5798.52,after_inner_alloc
1765707443.8584802,5926.53,after_outer_alloc
1765707443.9519744,5926.53,before_alloc
1765707444.0794823,6054.53,after_inner_alloc
1765707444.1902666,6182.44,after_outer_alloc
1765707444.4043534,6182.44,before_alloc
1765707444.51635,6310.45,after_inner_alloc
1765707444.619805,6438.55,after_outer_alloc
1765707444.819734,6438.55,before_alloc
1765707444.9499583,6566.55,after_inner_alloc
