timestamp,memory_mb,label
1765702838.1752505,37.66,task_start_noref
1765702838.175671,37.66,before_alloc_noref
1765702838.2594824,165.73,after_alloc_noref
1765702838.2605767,37.80,after_del_noref
1765702838.26069,37.80,before_sleep_noref
1765702868.2636654,37.94,after_sleep_noref
1765702868.263794,37.94,task_end_noref
1765702868.2647388,37.94,task_start
1765702868.26484,37.94,before_alloc
1765702868.3472848,165.95,after_alloc
1765702868.3475816,165.95,before_sleep
1765702898.3779542,165.95,after_sleep
1765702898.3781211,165.95,task_end
