timestamp,memory_mb,label
1765702764.3954642,37.58,before_alloc
1765702764.479753,165.76,after_alloc
1765702764.7217581,165.91,before_alloc
1765702764.8033414,294.00,after_alloc
1765702765.0360608,294.12,before_alloc
1765702765.1185858,422.13,after_alloc
1765702765.293752,422.13,before_alloc
1765702765.3449318,550.15,after_alloc
1765702765.439707,550.15,before_alloc
1765702765.4894705,678.23,after_alloc
1765702765.717723,678.23,before_alloc
1765702765.766075,806.24,after_alloc
1765702766.2567804,806.24,before_alloc
1765702766.305084,934.25,after_alloc
1765702766.5431015,934.25,before_alloc
1765702766.5921314,1062.25,after_alloc
1765702766.8163846,1062.25,before_alloc
1765702766.8657675,1190.27,after_alloc
1765702767.0984073,1190.27,before_alloc
1765702767.1503217,1318.27,after_alloc
1765702767.2771285,1318.27,before_alloc
1765702767.3287501,1446.27,after_alloc
1765702767.4374938,1446.27,before_alloc
1765702767.4884453,1574.28,after_alloc
1765702767.694473,1574.28,before_alloc
1765702767.7789645,1702.29,after_alloc
1765702768.1760418,1702.29,before_alloc
1765702768.260285,1830.30,after_alloc
1765702768.4835587,1830.30,before_alloc
1765702768.5672598,1958.30,after_alloc
1765702768.6708746,1958.30,before_alloc
1765702768.7553923,2086.30,after_alloc
1765702768.9828699,2086.30,before_alloc
1765702769.06678,2214.31,after_alloc
1765702769.2519298,2214.31,before_alloc
1765702769.334978,2342.31,after_alloc
1765702769.5615637,2342.31,before_alloc
1765702769.644212,2470.32,after_alloc
1765702769.7523592,2470.32,before_alloc
1765702769.804347,2598.32,after_alloc
1765702770.0318842,2598.32,before_alloc
1765702770.0836322,2726.32,after_alloc
1765702770.2774007,2726.32,before_alloc
1765702770.3289695,2854.33,after_alloc
1765702770.449023,2854.33,before_alloc
1765702770.5009537,2982.33,after_alloc
1765702770.771875,2982.33,before_alloc
1765702770.823266,3110.37,after_alloc
1765702770.9263992,3110.37,before_alloc
1765702770.9778125,3238.37,after_alloc
1765702771.1067297,3238.37,before_alloc
1765702771.1585717,3366.39,after_alloc
1765702771.4200532,3366.39,before_alloc
1765702771.4727328,3494.39,after_alloc
1765702771.9856696,3494.39,before_alloc
1765702772.0387177,3622.40,after_alloc
1765702772.5827858,3622.40,before_alloc
1765702772.6668048,3750.42,after_alloc
1765702772.8747,3750.42,before_alloc
1765702772.9583383,3878.43,after_alloc
1765702773.0863073,3878.43,before_alloc
1765702773.1712291,4006.43,after_alloc
1765702773.2727997,4006.43,before_alloc
1765702773.3567762,4134.44,after_alloc
1765702773.6201549,4134.44,before_alloc
1765702773.7020154,4262.45,after_alloc
1765702773.9416964,4262.45,before_alloc
1765702774.0461776,294.33,after_alloc
1765702774.2556732,294.33,before_alloc
1765702774.3378935,422.34,after_alloc
1765702774.5279968,422.34,before_alloc
1765702774.610517,550.35,after_alloc
1765702774.722163,550.35,before_alloc
1765702774.7721388,678.35,after_alloc
1765702774.8825538,678.35,before_alloc
1765702774.9314725,806.36,after_alloc
1765702775.0559201,806.36,before_alloc
1765702775.1048567,934.36,after_alloc
1765702775.3054543,934.36,before_alloc
1765702775.3533053,1062.36,after_alloc
1765702775.463051,1062.36,before_alloc
1765702775.5118754,1190.37,after_alloc
1765702775.7392862,1190.37,before_alloc
1765702775.7882702,1318.37,after_alloc
1765702776.008081,1318.37,before_alloc
1765702776.0585053,1446.38,after_alloc
1765702776.2908413,1446.38,before_alloc
1765702776.3428135,1574.38,after_alloc
1765702776.4621618,1574.38,before_alloc
1765702776.5142648,1702.38,after_alloc
1765702776.6251216,1702.38,before_alloc
1765702776.707668,1830.39,after_alloc
1765702776.9106328,1830.39,before_alloc
1765702776.9953964,1958.39,after_alloc
1765702777.110067,1958.39,before_alloc
1765702777.1938877,2086.39,after_alloc
